id,user_id,research_id,viewed_at,created_at
33,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-coco-akuisisi-sma,2026-05-08 05:09:57.870013+00,2026-05-10 03:10:07.39644+00
34,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,gfs,2026-05-08 05:56:10.000899+00,2026-05-10 03:10:07.39644+00
35,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-coco-akuisisi-sma,2026-05-08 05:56:35.763847+00,2026-05-10 03:10:07.39644+00
36,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,asgr,2026-05-08 05:57:42.95418+00,2026-05-10 03:10:07.39644+00
37,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,asgr,2026-05-08 06:04:03.656992+00,2026-05-10 03:10:07.39644+00
38,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-hantavirus-saham-kesehatan,2026-05-08 06:08:39.358205+00,2026-05-10 03:10:07.39644+00
39,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-hantavirus-saham-kesehatan,2026-05-08 06:15:06.089388+00,2026-05-10 03:10:07.39644+00
40,5f687bb4-9d3f-405b-b517-f1fdb2b291d4,pyfa,2026-05-08 06:42:03.115758+00,2026-05-10 03:10:07.39644+00
41,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-coco-akuisisi-sma,2026-05-08 06:43:34.372921+00,2026-05-10 03:10:07.39644+00
42,5f687bb4-9d3f-405b-b517-f1fdb2b291d4,pyfa,2026-05-08 06:45:01.811498+00,2026-05-10 03:10:07.39644+00
43,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-coco-akuisisi-sma,2026-05-08 06:45:19.903091+00,2026-05-10 03:10:07.39644+00
44,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-ctth-pubex-insidental-mei2026,2026-05-08 06:45:25.140815+00,2026-05-10 03:10:07.39644+00
45,5f687bb4-9d3f-405b-b517-f1fdb2b291d4,dmas,2026-05-08 06:49:39.937314+00,2026-05-10 03:10:07.39644+00
46,c9919e07-6657-4789-982f-f3dbe8c4a674,news-coco-akuisisi-sma,2026-05-08 06:58:12.405416+00,2026-05-10 03:10:07.39644+00
47,c9919e07-6657-4789-982f-f3dbe8c4a674,news-coco-akuisisi-sma,2026-05-08 07:00:03.263637+00,2026-05-10 03:10:07.39644+00
48,c9919e07-6657-4789-982f-f3dbe8c4a674,news-ctth-pubex-insidental-mei2026,2026-05-08 07:03:51.346312+00,2026-05-10 03:10:07.39644+00
49,c9919e07-6657-4789-982f-f3dbe8c4a674,news-tpia-force-majeure,2026-05-08 07:06:12.997097+00,2026-05-10 03:10:07.39644+00
50,518ef540-983b-4413-a797-e24f686974df,news-hantavirus-saham-kesehatan,2026-05-08 07:17:14.069741+00,2026-05-10 03:10:07.39644+00
51,dd78f100-0754-4f85-8df5-5bdf69cf5662,avia,2026-05-08 07:55:18.747728+00,2026-05-10 03:10:07.39644+00
52,dd78f100-0754-4f85-8df5-5bdf69cf5662,cmry,2026-05-08 07:57:25.922009+00,2026-05-10 03:10:07.39644+00
53,dd78f100-0754-4f85-8df5-5bdf69cf5662,pyfa,2026-05-08 07:57:41.600001+00,2026-05-10 03:10:07.39644+00
54,dd78f100-0754-4f85-8df5-5bdf69cf5662,nisp,2026-05-08 08:01:51.992269+00,2026-05-10 03:10:07.39644+00
55,dd78f100-0754-4f85-8df5-5bdf69cf5662,dewa,2026-05-08 08:02:24.467817+00,2026-05-10 03:10:07.39644+00
56,dd78f100-0754-4f85-8df5-5bdf69cf5662,asgr,2026-05-08 08:03:06.209393+00,2026-05-10 03:10:07.39644+00
57,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,ptro,2026-05-08 09:17:09.810453+00,2026-05-10 03:10:07.39644+00
58,94c5ff2c-ab41-42ec-864f-832df48bf7fa,avia,2026-05-08 11:08:21.033371+00,2026-05-10 03:10:07.39644+00
59,94c5ff2c-ab41-42ec-864f-832df48bf7fa,artikel-adro-corporate-history,2026-05-08 11:18:23.888453+00,2026-05-10 03:10:07.39644+00
60,cd45eb9f-7acb-4398-86ae-8eeaee74b8e1,pyfa,2026-05-08 11:28:03.256057+00,2026-05-10 03:10:07.39644+00
61,cd45eb9f-7acb-4398-86ae-8eeaee74b8e1,news-hantavirus-saham-kesehatan,2026-05-08 11:28:03.25659+00,2026-05-10 03:10:07.39644+00
62,94c5ff2c-ab41-42ec-864f-832df48bf7fa,avia,2026-05-08 12:02:00.947741+00,2026-05-10 03:10:07.39644+00
63,dd78f100-0754-4f85-8df5-5bdf69cf5662,avia,2026-05-08 18:51:07.474246+00,2026-05-10 03:10:07.39644+00
64,dd78f100-0754-4f85-8df5-5bdf69cf5662,pyfa,2026-05-08 18:51:40.226875+00,2026-05-10 03:10:07.39644+00
65,dd78f100-0754-4f85-8df5-5bdf69cf5662,asgr,2026-05-08 18:56:12.011544+00,2026-05-10 03:10:07.39644+00
